施設名称,所在地,備考,緯度,経度
品川都税事務所,東京都品川区広町2-1-36,品川区役所　2階,35.6089834,139.7302954
鮫洲運転免許試験場,東京都品川区東大井1-12-5,品川区東大井1-12-5,35.6033213,139.7464659
品川児童相談所,東京都品川区北品川3-7-21,品川区北品川3-7-21,35.6175581,139.7404569
品川警察署,東京都品川区東品川3-14-32,品川区東品川3-14-32,35.6139521,139.7454043
大崎警察署,東京都品川区大崎4-2-10,品川区大崎4-2-10,35.6217304,139.7241517
大井警察署,東京都品川区大井5-10-2,品川区大井5-10-2,35.5987968,139.7298873
荏原警察署,東京都品川区荏原6-19-10,品川区荏原6-19-10,35.6120733,139.7061891
東京水上警察署,東京都品川区港区港南5-8-36,港区港南5-8-36,35.6323499,139.7550883
品川消防署,東京都品川区北品川3-7-31,品川区北品川3-7-31,35.6171422,139.7398073
品川消防署東品川出張所,東京都品川区東品川3-25-11,電話　03-3450-0119,35.6128705,139.7473344
品川消防署大崎出張所,東京都品川区大崎2-8-27,,35.6133836,139.7316590
品川消防署五反田出張所,東京都品川区西五反田7-25-14,品川区西五反田7-25-14,35.6200165,139.7187382
大井消防署,東京都品川区東大井3-6-12,品川区東大井3-6-12,35.6034742,139.7401437
大井消防署滝王子出張所,東京都品川区大井5-17-9,品川区大井5-17-9,35.5983307,139.7281165
大井消防署八潮出張所,東京都品川区八潮5-8-3,品川区八潮5-8-3,35.5971201,139.7515991
荏原消防署,東京都品川区平塚3-16-20,品川区平塚3-16-20,35.6148569,139.7105344
荏原消防署戸越出張所,東京都品川区戸越5-20-15,品川区戸越5-20-15,35.6083098,139.7187484
荏原消防署小山出張所,東京都品川区小山5-12-11,品川区小山5-12-11,35.6160664,139.7022552
荏原消防署旗の台出張所,東京都品川区旗の台6-24-11,品川区旗の台6-24-11,35.6057800,139.7000222
品川税務署,東京都品川区港区高輪3-13-22,港区高輪3-13-22,35.6296746,139.7348360
荏原税務署,東京都品川区中延1-1-5,品川区中延1-1-5,35.6138370,139.7097508
品川自動車税事務所,東京都品川区東大井1-12-18,品川区東大井1-12-18,35.6049300,139.7473986
関東運輸局東京陸運支局,東京都品川区東大井1-12-17,品川区東大井1-12-17,35.6046993,139.7469919
